stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:DUA8711379,"VILLIERS SUR MARNE - PLESSIS TREVISE",,48.82346,2.542732,,,1,
StopArea:DUA8711377,"LES BOULLEREAUX CHAMPIGNY",,48.825276,2.510512,,,1,
StopArea:DUA8711374,"NOGENT LE PERREUX",,48.839033,2.494142,,,1,
StopArea:DUA8711371,"VAL DE FONTENAY",,48.853232,2.488104,,,1,
StopArea:DUA8711370,"ROSNY SOUS BOIS",,48.870732,2.48545,,,1,
StopArea:DUA8711369,"ROSNY BOIS PERRIER",,48.883019,2.481009,,,1,
StopArea:DUA8711321,"NOISY LE SEC",,48.895838,2.460027,,,1,
StopArea:DUA8711320,"PANTIN",,48.897049,2.400687,,,1,
StopArea:DUA8711300,"GARE DE PARIS EST",,48.876182,2.358288,,,1,
StopArea:DUA8711347,"LE RAINCY VILLEMOMBLE MONTFERMEIL",,48.88953,2.512214,,,1,
StopArea:DUA8711351,"GAGNY",,48.88352,2.52639,,,1,
StopArea:DUA8711352,"LE CHENAY GAGNY",,48.876467,2.552602,,,1,
StopArea:DUA8711611,"CHELLES GOURNAY",,48.874823,2.584216,,,1,
StopArea:DUA8711629,"VAIRES TORCY",,48.875491,2.639087,,,1,
StopArea:DUA8711340,"BONDY",,48.894744,2.478964,,,1,
StopArea:DUA8711380,"LES YVRIS NOISY LE GRAND",,48.823356,2.579801,,,1,
StopArea:DUA8711604,"EMERAINVILLE PONTAULT COMBAULT",,48.805312,2.619291,,,1,
StopArea:DUA8711603,"ROISSY EN BRIE",,48.794971,2.649911,,,1,
StopArea:DUA8711602,"OZOIR LA FERRIERE",,48.770601,2.689819,,,1,
StopArea:DUA8711601,"GRETZ ARMAINVILLIERS",,48.74567,2.728741,,,1,
StopArea:DUA8711621,"TOURNAN",,48.739043,2.759481,,,1,
StopArea:DUA8727627,"ORRY LA VILLE COYE LA FORET",,49.155327,2.475658,,,1,
StopArea:DUA8727628,"LA BORNE BLANCHE",,49.126781,2.506144,,,1,
StopArea:DUA8727626,"SURVILLIERS FOSSES",,49.100055,2.52524,,,1,
StopArea:DUA8727625,"LOUVRES",,49.049516,2.501416,,,1,
StopArea:DUA8727623,"LES NOUES",,49.032798,2.477633,,,1,
StopArea:DUA8727624,"GOUSSAINVILLE",,49.02419,2.462591,,,1,
StopArea:DUA8727622,"VILLIERS LE BEL GONESSE ARNOUVILLE",,48.994048,2.416498,,,1,
StopArea:DUA8727619,"GARGES SARCELLES",,48.97672,2.390558,,,1,
StopArea:DUA8727116,"PIERREFITTE STAINS",,48.964029,2.371746,,,1,
StopArea:DUA8716478,"STADE DE FRANCE SAINT-DENIS",,48.917604,2.350998,,,1,
StopArea:DUA8768140,"MOULIN GALANT",,48.58466,2.475987,,,1,
StopArea:DUA8768141,"MENNECY",,48.570807,2.433023,,,1,
StopArea:DUA8768143,"BALLANCOURT",,48.532011,2.371267,,,1,
StopArea:DUA8768145,"LA FERTE ALAIS",,48.48472,2.350933,,,1,
StopArea:DUA8768200,"MELUN",,48.527308,2.654794,,,1,
StopArea:DUA8768217,"LE MEE",,48.540187,2.624123,,,1,
StopArea:DUA8768216,"CESSON",,48.56502,2.593903,,,1,
StopArea:DUA8768218,"SAVIGNY LE TEMPLE NANDY",,48.595883,2.584527,,,1,
StopArea:DUA8768215,"LIEUSAINT MOISSY",,48.628516,2.56909,,,1,
StopArea:DUA8768214,"COMBS LA VILLE QUINCY",,48.66771,2.548161,,,1,
StopArea:DUA8768213,"BOUSSY SAINT-ANTOINE",,48.682243,2.533131,,,1,
StopArea:DUA8768212,"BRUNOY",,48.699362,2.505848,,,1,
StopArea:DUA8768211,"YERRES",,48.706756,2.483315,,,1,
StopArea:DUA8768210,"MONTGERON CROSNE",,48.707967,2.462429,,,1,
StopArea:DUA8768182,"VILLENEUVE SAINT-GEORGES",,48.73012,2.44691,,,1,
StopArea:DUA8768180,"VILLENEUVE TRIAGE",,48.745574,2.43806,,,1,
StopArea:DUA8760880,"CRETEIL POMPADOUR",,48.773108,2.436165,,,1,
StopArea:DUA8768124,"LE VERT DE MAISONS",,48.789678,2.433621,,,1,
StopArea:DUA8768115,"MAISONS ALFORT ALFORTVILLE",,48.801183,2.427336,,,1,
StopArea:DUA8768603,"PARIS GARE DE LYON",,48.844574,2.373253,,,1,
StopArea:DUA8768254,"SAINT-FARGEAU",,48.564568,2.542556,,,1,
StopArea:DUA8768252,"PONTHIERRY PRINGY",,48.534971,2.544397,,,1,
StopArea:DUA8768251,"BOISSISE LE ROI",,48.529355,2.572534,,,1,
StopArea:DUA8768250,"VOSVES",,48.515151,2.599304,,,1,
StopArea:DUA8738141,"ERAGNY NEUVILLE",,49.018201,2.090978,,,1,
StopArea:DUA8738142,"SAINT-OUEN L'AUMONE QUARTIER DE L'EGLISE",,49.040235,2.104571,,,1,
StopArea:DUA8738657,"POISSY",,48.933132,2.040681,,,1,
StopArea:DUA8738642,"MAISONS LAFFITTE",,48.945678,2.144397,,,1,
StopArea:DUA8738641,"SARTROUVILLE",,48.937951,2.158139,,,1,
StopArea:DUA8738664,"VILLENNES SUR SEINE",,48.939491,1.999496,,,1,
StopArea:DUA8738665,"VERNOUILLET VERNEUIL",,48.981218,1.982627,,,1,
