route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
DUA800850015,DUA850,"P","Gare de l'Est => Provins",,2,,F7AF16,
DUA800851081,DUA851,"Gare de Ly","Gare de Lyon => Montargis via MORET",,2,,000000,
DUA800853023,DUA853,"H","Gare du Nord Surface => Persan Beaumont via MONTSOULT",,2,,9D494D,
DUA800853026,DUA853,"H","Gare du Nord Surface => Valmondois",,2,,9D494D,
DUA800852054,DUA852,"N","Gare Montparnasse => Versailles Chantiers",,2,,000000,
DUA800852051,DUA852,"N","Gare Montparnasse => Mantes la Jolie",,2,,000000,
DUA800852053,DUA852,"N","Gare Montparnasse => Dreux",,2,,000000,
DUA800854045,DUA854,"L","Gare St Lazare => Cergy le Haut",,2,,000000,
DUA800854041,DUA854,"J","Gare St Lazare => Bécon les Bruyères",,2,,000000,
DUA800854042,DUA854,"J","Gare St Lazare => Ermont Eaubonne PSL",,2,,000000,
DUA800854400,DUA854,"J","GARE ST LAZARE => CONFLANS STE HONORINE",,2,,000000,
DUA800854048,DUA854,"L","Gare St Lazare => St Cloud",,2,,000000,
DUA800854047,DUA854,"J","Gare St Lazare => Mantes la Jolie VIA POISSY",,2,,7FB747,
DUA800854043,DUA854,"J","Gisors => Pontoise",,2,,000000,
DUA800855048,DUA855,"U","La Défense => La Verrière",,2,,000000,
DUA800854044,DUA854,"J","Mantes la Jolie => Conflans Ste Honorine",,2,,000000,
DUA800850012,DUA850,"P","Meaux => La Ferté Milon",,2,,000000,
DUA800851400,DUA851,"MELUN => P","MELUN => PARIS GARE DE LYON",,2,,000000,
DUA800853029,DUA853,"K","Mitry Claye => Crépy en Valois",,2,,C1A300,
DUA800852400,DUA852,"MONTFORT L","MONTFORT L'AMAURY MERE => DREUX",,2,,000000,
DUA800854040,DUA854,"L","Noisy le Roi => St Germain Grande Ceinture",,2,,000000,
DUA800853027,DUA853,"H","Pontoise =&gt; Gare du Nord Surface",,2,,9D494D,
DUA800854049,DUA854,"L","St Nom la Bretèche Forêt de Marly => Gare St Lazare",,2,,000000,
DUA800850400,DUA850,"P","TOURNAN => GARE DE L'EST",,2,,000000,
DUA800850010,DUA850,"T4","T4",,0,,F29563,
